"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Protein","Comparison","P.adj"
"Arachidonate.Habitat",1,27.1047282206131,27.1047282206131,3.36032682951078,0.0764040028972156,"Arachidonate","Habitat",1.06965604056102
"Arachidonate.Residuals",31,250.049062924434,8.066098804014,NA,NA,"Arachidonate","Residuals",NA
"Catalase.Habitat",1,0.000138850810110323,0.000138850810110323,0.652200784585621,0.425684219402526,"Catalase","Habitat",5.95957907163537
"Catalase.Residuals",30,0.00638687410650122,0.000212895803550041,NA,NA,"Catalase","Residuals",NA
"Cytochrome.Habitat",1,0.0285257256148674,0.0285257256148674,3.31900507569779,0.078145004166098,"Cytochrome","Habitat",1.09403005832537
"Cytochrome.Residuals",31,0.266434510912874,0.00859466164235078,NA,NA,"Cytochrome","Residuals",NA
"Glycogen.Habitat",1,97.1405499766418,97.1405499766418,0.998179447806371,0.325486637461,"Glycogen","Habitat",4.556812924454
"Glycogen.Residuals",31,3016.84938103438,97.3177219688511,NA,NA,"Glycogen","Residuals",NA
"HSP70.Habitat",1,0.261674465272516,0.261674465272516,0.234310220091344,0.639906966300701,"HSP70","Habitat",8.95869752820982
"HSP70.Residuals",9,10.05107752677,1.11678639186334,NA,NA,"HSP70","Residuals",NA
"HSP90-alpha.Habitat",1,21764.8592089949,21764.8592089949,0.936495512984256,0.340670566735576,"HSP90-alpha","Habitat",4.76938793429806
"HSP90-alpha.Residuals",31,720463.286928942,23240.7511912562,NA,NA,"HSP90-alpha","Residuals",NA
"PDI.Habitat",1,0.19842939773953,0.19842939773953,0.281154460604614,0.602088107936798,"PDI","Habitat",8.42923351111517
"PDI.Residuals",19,13.4095633728999,0.705766493310523,NA,NA,"PDI","Residuals",NA
"Peroxiredoxin-1.Habitat",1,124.459425633667,124.459425633667,0.332720162008096,0.578201683644349,"Peroxiredoxin-1","Habitat",8.09482357102089
"Peroxiredoxin-1.Residuals",9,3366.59739506783,374.066377229758,NA,NA,"Peroxiredoxin-1","Residuals",NA
"Puromycin-sensitive.Habitat",1,0.193063692193234,0.193063692193234,1.34081587800348,0.256025937235801,"Puromycin-sensitive","Habitat",3.58436312130121
"Puromycin-sensitive.Residuals",30,4.31969136166657,0.143989712055552,NA,NA,"Puromycin-sensitive","Residuals",NA
"Ras-related.Habitat",1,545.846825340472,545.846825340472,1.54860189701895,0.244772751652458,"Ras-related","Habitat",3.42681852313442
"Ras-related.Residuals",9,3172.29459522232,352.477177246924,NA,NA,"Ras-related","Residuals",NA
"Sodium/potassium-transporting.Habitat",1,1.16293727909837,1.16293727909837,0.593253167150745,0.450166861556236,"Sodium/potassium-transporting","Habitat",6.3023360617873
"Sodium/potassium-transporting.Residuals",20,39.2054301094987,1.96027150547494,NA,NA,"Sodium/potassium-transporting","Residuals",NA
"Superoxide.Habitat",1,3.10251143417266e-05,3.10251143417266e-05,0.0562935517899156,0.815663063285284,"Superoxide","Habitat",11.419282885994
"Superoxide.Residuals",15,0.00826696309486135,0.000551130872990757,NA,NA,"Superoxide","Residuals",NA
"Trifunctional.Habitat",1,75.3841902991466,75.3841902991466,2.74702086366557,0.113039817684252,"Trifunctional","Habitat",1.58255744757953
"Trifunctional.Residuals",20,548.843230834114,27.4421615417057,NA,NA,"Trifunctional","Residuals",NA
