"","Protein","CI-B","CI-E","FB-B","FB-E","PG-B","PG-E","WB-B","WB-E"
"1","Arachidonate",0.824619741974097,0.820043501473804,0.440393534000053,0.450163519864129,0.521309156621311,0.761715342819458,0.506759020096909,0.665659012280389
"2","Catalase",0.539791978028078,0.655019189488309,0.553217260750118,0.64514480493955,0.586863995610542,0.902630561864202,0.509631719010117,0.425782542392624
"3","Cytochrome",0.622388538688584,0.868411827378825,0.342861892855941,0.508878621251746,0.41309838156608,0.852071444971243,0.618744093285935,0.425608168754082
"4","Glycogen",0.410481797605523,0.715403696535198,0.403694615373181,0.409658384249003,0.425210746623498,0.712854873723999,0.514793573898323,0.495391231670098
"5","HSP70",0.506484657553928,0.901021503247841,0.305829334939216,0.404153541970184,0.428186515056252,0.638338832237446,0.464599151045178,0.432810811924043
"6","HSP90-alpha",0.645061879376122,0.856502952878046,0.406720154449184,0.505533056273571,0.51429776057362,0.636540076837087,0.562372101067463,0.478027071289675
"7","PDI",0.559446203067919,0.704455688879932,0.413302218420057,0.459504504329069,0.492726624030855,0.86510486568656,0.459980557268048,0.500367843380462
"8","Peroxiredoxin-1",0.499150654411141,0.651755139015124,0.462861660857707,0.33303569167298,0.452708042686688,0.665111585521375,0.406040917199632,0.360087300337992
"9","Puromycin-sensitive",0.616351693702163,0.752240161286199,0.507834930240433,0.51379655796928,0.479719445984295,0.620437333165699,0.466895354992984,0.485451769684015
"10","Ras-related",0.502802929596372,0.559380575677147,0.449343856662847,0.485259468638676,0.504504238580728,0.729068209578659,0.589987345605441,0.575951877594873
"11","Sodium/potassium-transporting",0.583119234356794,0.885952161185471,0.397970821161406,0.508090016787147,0.503667590482393,0.756480820357234,0.534745763387239,0.480443845224347
"12","Superoxide",0.535252515144438,0.720643750758021,0.54549605704863,0.70902238007814,0.381534539465832,1.0207230022225,0.518104660532437,0.522266977116838
"13","Trifunctional",0.630008990193933,0.810053043761757,0.491641060398019,0.511124412491351,0.529620601238522,0.791662686751748,0.576901330046065,0.620391221960409
